2026-06-03 00:57:24 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:57:54 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 00:58:25 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:58:55 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 00:59:26 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:59:56 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 01:00:26 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:00:57 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:01:27 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:01:58 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:02:28 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:02:59 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:03:29 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:03:59 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:04:30 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:05:00 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:05:31 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:06:03 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:06:31 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:07:02 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:07:32 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:08:03 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:08:33 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:09:04 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:09:34 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:10:04 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:10:35 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 01:11:05 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:11:36 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:12:06 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:12:37 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:13:07 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:13:37 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:14:07 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:14:38 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:15:08 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:15:39 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:16:09 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:16:39 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 01:17:10 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:17:40 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:18:11 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:18:41 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:19:12 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:19:42 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:20:12 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:20:43 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:21:13 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:21:44 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:22:14 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 01:22:45 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 01:23:15 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 01:23:46 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 01:24:16 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:24:46 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:25:17 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:25:47 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:26:18 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:26:48 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:27:18 | DEBUG    | ob_detector | OBs detected: 32 total | 15 active (6 bull / 9 bear)
2026-06-03 01:27:49 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (7 bull / 9 bear)
2026-06-03 01:28:19 | DEBUG    | ob_detector | OBs detected: 32 total | 15 active (6 bull / 9 bear)
